id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
4181749-0,4181749,24328462,1272384812,21.80114402275626,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2795627 43.6968991, 7.2798284 43.6968610)"
4181749-1,4181749,1272384812,24328473,154.9619651892555,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2798284 43.6968610, 7.2800656 43.6968328, 7.2803077 43.6967874, 7.2805750 43.6967499, 7.2806934 43.6967413, 7.2808334 43.6967424, 7.2810350 43.6967717, 7.2812473 43.6968363, 7.2813483 43.6968671, 7.2814216 43.6968909, 7.2815428 43.6968887, 7.2816984 43.6969002)"
4186545-0,4186545,300891161,9360004780,6.2597280051532485,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2669889 43.7002349, 7.2669178 43.7002121)"
4186545-1,4186545,9360004780,222118226,31.38411819887748,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2669178 43.7002121, 7.2665612 43.7000980)"
4186545-2,4186545,222118226,24340892,136.6219827776029,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2665612 43.7000980, 7.2663093 43.7000132, 7.2662253 43.6999850, 7.2661413 43.6999567, 7.2659524 43.6998884, 7.2651652 43.6996228, 7.2651098 43.6996089, 7.2650207 43.6995833)"
4186545-3,4186545,24340892,4814251766,419.6556291696356,Allowed,Secondary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2650207 43.6995833, 7.2647636 43.6995083, 7.2647291 43.6994976, 7.2642157 43.6993707, 7.2641769 43.6993616, 7.2632763 43.6991495, 7.2625874 43.6990038, 7.2624410 43.6989679, 7.2623885 43.6989543, 7.2613324 43.6986990, 7.2612553 43.6986811, 7.2611464 43.6986551, 7.2607240 43.6985608, 7.2601405 43.6984303, 7.2600651 43.6984138)"
4196366-0,4196366,24342109,1739121841,57.76583647774897,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2718350 43.6964832, 7.2712182 43.6965486, 7.2711868 43.6965519, 7.2711247 43.6965462)"
4196366-1,4196366,1739121841,24342134,3.9948072918545106,Allowed,Residential,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2711247 43.6965462, 7.2710866 43.6965232)"
4196373-0,4196373,4587877104,4979116530,80.29690050460584,Allowed,Primary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2695476 43.6971714, 7.2686925 43.6967998)"
4196373-1,4196373,4979116530,10184646192,17.19308301542836,Allowed,Primary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2686925 43.6967998, 7.2685078 43.6967222)"
4196373-2,4196373,10184646192,24340896,86.54836286263183,Allowed,Primary,Forbidden,Allowed,Forbidden,Forbidden,"LINESTRING(7.2685078 43.6967222, 7.2676624 43.6963668, 7.2675777 43.6963320)"
