X,Y,osm_id,amenity,tourism,ref,highway,name,public_transport,operator,historic,access,leisure,shop,ele,recycling:glass_bottles,recycling_type,information,shelter,bus,wheelchair,bench,tactile_paving,ref:FR:Tisseo,ref:FR:aec31,opening_hours,hiking,memorial,picnic_table,collection_times,pastry,wikidata
1.5635964,43.488674,7603119121,recycling,,,,,,,,,,,,yes,container,,,,,,,,,,,,,,,
1.5691126,43.4884051,940809086,,information,,,,,,,,,,,,,guidepost,,,,,,,,,,,,,,
1.569242,43.488554,2216410789,,,25381,bus_stop,Village Montlaur,platform,,,,,,,,,,yes,yes,yes,yes,no,25381,,,,,,,,
1.5688463,43.4889984,1718620331,,,25380,bus_stop,Village Montlaur,platform,,,,,,,,,,no,yes,yes,no,no,25380,38403,,,,,,,
1.5694402,43.489113,1326211234,library,,,,Bibliothèque municipale,,,,,,,,,,,,,,,,,,"We 14:00-18:00, Sa 10:30-12:30",,,,,,
1.5701867,43.4883552,8268222725,,information,,,,,SICOVAL,,,,,,,,guidepost,,,,,,,,,yes,,,,,
1.5709673,43.4882736,7012633509,,,,,,,,memorial,,,,,,,,,,,,,,,,,war_memorial,,,,
1.570914,43.4883535,5104829363,,,,,,,,,yes,playground,,,,,,,,,,,,,,,,playground,,,
1.570091,43.4888329,1374661156,post_box,,aoyn8y2,,,,,,,,,,,,,,,,,,,,,,,,Mo-Sa 09:30,,
1.5702762,43.4887091,1326210963,townhall,,,,Mairie de Montlaur,,,,,,,,,,,,,no,,,,,"Mo 14:00-18:00; Th 14:00-19:00; We 08:30-13:00; Fr 08:30-12:00",,,,,,
1.5708718,43.4887079,5022997048,recycling,,,,,,,,,,,,yes,container,,,,,,,,,,,,,,,
1.5667965,43.4903543,5104769614,,,,,Boulangerie Pâtisserie (artisan),,,,,,bakery,,,,,,,,,,,,,,,,,yes,
1.5675448,43.4901217,940809143,,information,,,,,,,,,,,,,guidepost,,,,,,,,,,,,,,
1.5754996,43.4854115,8268222726,,information,,,Naugé,,SICOVAL,,,,,200,,,guidepost,,,,,,,,,yes,,,,,
1.5710656,43.4882652,7012627931,,,,,,,,memorial,,,,,,,,,,,,,,,,,statue,,,,
1.5769862,43.4839409,259654338,,,,,Château de Montlaur,,,castle,,,,,,,,,,,,,,,,,,,,,Q22938322
