id,osm_id,source,target,length,foot,car_forward,car_backward,bike_forward,bike_backward,train,wkt
4543290-0,4543290,1426244618,1426244627,22.44042491378594,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0403901 43.5893744, 7.0406227 43.5894851)"
4543290-1,4543290,1426244627,25899373,12.162895420311978,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0406227 43.5894851, 7.0407391 43.5895546)"
4543290-2,4543290,25899373,25899371,39.28953993021639,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0407391 43.5895546, 7.0407845 43.5896783, 7.0408008 43.5897226, 7.0408591 43.5897998, 7.0409569 43.5898571)"
4543290-3,4543290,25899371,25899370,31.804383504089188,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0409569 43.5898571, 7.0411244 43.5898653, 7.0413386 43.5898118)"
4635790-0,4635790,25899081,25899396,243.5308840800487,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0437484 43.5917987, 7.0436947 43.5917387, 7.0436798 43.5910861, 7.0435578 43.5906069, 7.0436251 43.5901062, 7.0436148 43.5900243, 7.0434711 43.5896475)"
4635790-1,4635790,25899396,25899404,267.3710241163131,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0434711 43.5896475, 7.0431462 43.5891991, 7.0430907 43.5890638, 7.0430701 43.5889196, 7.0431002 43.5884998, 7.0430547 43.5883184, 7.0426941 43.5877334, 7.0425937 43.5873768)"
4635790-2,4635790,25899404,629993200,201.82582873179427,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0425937 43.5873768, 7.0423915 43.5870486, 7.0417880 43.5864750, 7.0411428 43.5859110)"
4635791-0,4635791,7849429921,25897252,177.55237424047576,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0475462 43.5851328, 7.0478952 43.5852681, 7.0482964 43.5854215, 7.0484126 43.5854732, 7.0485997 43.5855776, 7.0487032 43.5856373, 7.0487700 43.5856700, 7.0488688 43.5856980, 7.0493277 43.5858135, 7.0494883 43.5858640)"
4635791-1,4635791,25897252,3129776845,13.450524264554137,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0494883 43.5858640, 7.0495306 43.5858806, 7.0496325 43.5859247)"
4635791-2,4635791,3129776845,3476207605,39.79764789664098,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0496325 43.5859247, 7.0498012 43.5860157, 7.0499438 43.5860985, 7.0500187 43.5861470)"
4635791-3,4635791,3476207605,25897206,34.50394438736232,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0500187 43.5861470, 7.0503117 43.5863729)"
4635791-4,4635791,25897206,4552250424,166.24001133533062,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0503117 43.5863729, 7.0506507 43.5866416, 7.0508063 43.5867719, 7.0512419 43.5871208, 7.0513009 43.5871749, 7.0513976 43.5872761, 7.0515880 43.5875365)"
4635791-5,4635791,4552250424,4552250425,89.36341649907644,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0515880 43.5875365, 7.0516679 43.5876366, 7.0517197 43.5876923, 7.0519960 43.5879900, 7.0521068 43.5880935, 7.0522218 43.5881937)"
4635791-6,4635791,4552250425,4552250434,37.88525172207365,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0522218 43.5881937, 7.0523785 43.5883343, 7.0524349 43.5883826, 7.0524800 43.5884163, 7.0525334 43.5884471)"
4635791-7,4635791,4552250434,4552250452,90.91472516116826,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0525334 43.5884471, 7.0525785 43.5884643, 7.0526468 43.5884759, 7.0527446 43.5884859, 7.0531685 43.5885185, 7.0534516 43.5885347, 7.0536484 43.5885459)"
4635791-8,4635791,4552250452,25897200,38.455312838694965,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0536484 43.5885459, 7.0540437 43.5885740, 7.0541224 43.5885833)"
4635791-9,4635791,25897200,25897173,111.22684692466044,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0541224 43.5885833, 7.0542082 43.5885977, 7.0543265 43.5886261, 7.0545115 43.5886825, 7.0546435 43.5887349, 7.0547867 43.5888042, 7.0548887 43.5888636, 7.0552953 43.5890895)"
4635792-0,4635792,245016544,6405675753,302.7801891393021,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0544322 43.5922553, 7.0541954 43.5921990, 7.0540534 43.5922259, 7.0538012 43.5921698, 7.0538050 43.5921435, 7.0537735 43.5920850, 7.0537165 43.5919156, 7.0537084 43.5918693, 7.0537028 43.5918377, 7.0536980 43.5917378, 7.0537172 43.5915848, 7.0537834 43.5914364, 7.0538828 43.5912573, 7.0539868 43.5911196, 7.0541398 43.5909239, 7.0543984 43.5905840, 7.0545360 43.5903905, 7.0546151 43.5902618, 7.0546390 43.5902079, 7.0546467 43.5901552, 7.0546406 43.5900961)"
4635792-1,4635792,6405675753,4552250453,94.03804486471036,Allowed,Residential,Residential,Allowed,Allowed,Forbidden,"LINESTRING(7.0546406 43.5900961, 7.0546384 43.5900141, 7.0546543 43.5898962, 7.0546966 43.5897259, 7.0547552 43.5895715, 7.0548065 43.5894791, 7.0548625 43.5893945, 7.0549441 43.5892927)"
